community_id,filename,building_ratio,is_building_likely
655921,655921_00.jpg,0.0,0
655921,655921_01.jpg,0.0514453125,0
655921,655921_02.jpg,0.0054296875,0
846471,846471_00.jpg,0.1477734375,1
846471,846471_01.jpg,0.07828125,0
846471,846471_02.jpg,0.334375,1
1004145,1004145_00.jpg,0.2114453125,1
1004145,1004145_01.jpg,0.18390625,1
1004145,1004145_02.jpg,0.15453125,1
231663,231663_00.jpg,0.015390625,0
231663,231663_01.jpg,0.081484375,1
231663,231663_02.jpg,0.0,0
846143,846143_00.jpg,0.01671875,0
846143,846143_01.jpg,0.0590234375,0
846143,846143_02.jpg,0.02,0
302315,302315_00.jpg,0.1700390625,1
302315,302315_01.jpg,0.271875,1
302315,302315_02.jpg,0.1717578125,1
1285689,1285689_00.jpg,0.264140625,1
846654,846654_00.jpg,0.2064453125,1
846654,846654_01.jpg,0.28640625,1
846654,846654_02.jpg,0.070546875,0
485160,485160_00.jpg,0.2370703125,1
485160,485160_01.jpg,0.298671875,1
485160,485160_02.jpg,0.286328125,1
492068,492068_00.jpg,0.008515625,0
492068,492068_01.jpg,0.026875,0
492068,492068_02.jpg,0.0753125,0
513050,513050_00.jpg,0.010703125,0
513050,513050_01.jpg,0.0842578125,1
513050,513050_02.jpg,0.17953125,1
1000647,1000647_00.jpg,0.1625390625,1
1000647,1000647_01.jpg,0.201796875,1
1000647,1000647_02.jpg,0.0,0
1390461,1390461_00.jpg,0.3727734375,1
1390461,1390461_01.jpg,0.2764453125,1
1390461,1390461_02.jpg,0.3467578125,1
846197,846197_00.jpg,0.1198046875,1
846197,846197_01.jpg,0.0073828125,0
846197,846197_02.jpg,0.121953125,1
1064085,1064085_00.jpg,0.264140625,1
233332,233332_00.jpg,0.0117578125,0
233332,233332_01.jpg,0.0042578125,0
233332,233332_02.jpg,0.0,0
302131,302131_00.jpg,0.264140625,1
221902,221902_00.jpg,0.3237109375,1
221902,221902_01.jpg,0.086484375,1
221902,221902_02.jpg,0.0039453125,0
302884,302884_00.jpg,0.264140625,1
228138,228138_00.jpg,0.1129296875,1
228138,228138_01.jpg,0.0654296875,0
228138,228138_02.jpg,0.0,0
238044,238044_00.jpg,0.0,0
238044,238044_01.jpg,0.0,0
238044,238044_02.jpg,0.0,0
301525,301525_00.jpg,0.27109375,1
301525,301525_01.jpg,0.20203125,1
301525,301525_02.jpg,0.1301953125,1
1466500,1466500_00.jpg,0.264140625,1
1466492,1466492_00.jpg,0.264140625,1
1466619,1466619_00.jpg,0.264140625,1
1466775,1466775_00.jpg,0.1076171875,1
1466775,1466775_01.jpg,0.14046875,1
1466775,1466775_02.jpg,0.0,0
1466480,1466480_00.jpg,0.264140625,1
261840,261840_00.jpg,0.275703125,1
261840,261840_01.jpg,0.12109375,1
261840,261840_02.jpg,0.01765625,0
