community_id,filename,efficientnet_quality
655921,655921_00.jpg,30602.0234375
655921,655921_01.jpg,893.419677734375
655921,655921_02.jpg,808.9044799804688
655921,655921_03.jpg,32302.181640625
846471,846471_00.jpg,12297.015625
846471,846471_01.jpg,-3270.750732421875
846471,846471_02.jpg,6283.21728515625
846471,846471_03.jpg,58453.90234375
1004145,1004145_00.jpg,8330.2958984375
1004145,1004145_01.jpg,114436.7578125
1004145,1004145_02.jpg,956.9928588867188
1004145,1004145_03.jpg,145382.59375
231663,231663_00.jpg,11308.8798828125
231663,231663_01.jpg,2406.079833984375
231663,231663_02.jpg,142193.21875
231663,231663_03.jpg,399088.1875
846143,846143_00.jpg,1363.2987060546875
846143,846143_01.jpg,55421.55078125
846143,846143_02.jpg,94025.578125
846143,846143_03.jpg,1655.3990478515625
302315,302315_00.jpg,16937.837890625
302315,302315_01.jpg,77026.2265625
302315,302315_02.jpg,12705.0341796875
302315,302315_03.jpg,4050.273193359375
1285689,1285689_00.jpg,9192.29296875
846654,846654_00.jpg,53382.5234375
846654,846654_01.jpg,46167.87890625
846654,846654_02.jpg,2004.4775390625
846654,846654_03.jpg,20402.318359375
485160,485160_00.jpg,206229.5
485160,485160_01.jpg,88482.3203125
485160,485160_02.jpg,152247.203125
485160,485160_03.jpg,12265.736328125
492068,492068_00.jpg,58742.54296875
492068,492068_01.jpg,1218.569580078125
492068,492068_02.jpg,49427.45703125
492068,492068_03.jpg,1244.858154296875
513050,513050_00.jpg,4829.02001953125
513050,513050_01.jpg,17100.734375
513050,513050_02.jpg,65953.7109375
513050,513050_03.jpg,1018.9806518554688
1000647,1000647_00.jpg,33870.39453125
1000647,1000647_01.jpg,47643.765625
1000647,1000647_02.jpg,222.8424530029297
1000647,1000647_03.jpg,61781.52734375
1390461,1390461_00.jpg,222367.21875
1390461,1390461_01.jpg,25425.87890625
1390461,1390461_02.jpg,184691.65625
1390461,1390461_03.jpg,184779.125
846197,846197_00.jpg,83031.4765625
846197,846197_01.jpg,-4274.33251953125
846197,846197_02.jpg,1181.5638427734375
846197,846197_03.jpg,30261.322265625
1064085,1064085_00.jpg,9192.29296875
233332,233332_00.jpg,39772.37109375
233332,233332_01.jpg,475.2406005859375
233332,233332_02.jpg,3512.617919921875
233332,233332_03.jpg,822.9071655273438
302131,302131_00.jpg,9192.29296875
221902,221902_00.jpg,7230.39208984375
221902,221902_01.jpg,57129.01171875
221902,221902_02.jpg,338.099853515625
221902,221902_03.jpg,3338.353271484375
302884,302884_00.jpg,9192.29296875
228138,228138_00.jpg,8835.7353515625
228138,228138_01.jpg,3309.9150390625
228138,228138_02.jpg,297.29052734375
228138,228138_03.jpg,99530.6015625
238044,238044_00.jpg,33784.5234375
238044,238044_01.jpg,54100.73828125
238044,238044_02.jpg,-1142.7569580078125
238044,238044_03.jpg,151948.25
301525,301525_00.jpg,-23384.275390625
301525,301525_01.jpg,1023.0631103515625
301525,301525_02.jpg,186339.125
301525,301525_03.jpg,18146.580078125
1466500,1466500_00.jpg,9192.29296875
1466492,1466492_00.jpg,9192.29296875
1466619,1466619_00.jpg,9192.29296875
1466775,1466775_00.jpg,19772.404296875
1466775,1466775_01.jpg,543.8705444335938
1466775,1466775_02.jpg,51939.3515625
1466775,1466775_03.jpg,2944.752685546875
1466480,1466480_00.jpg,9192.29296875
261840,261840_00.jpg,61839.4921875
261840,261840_01.jpg,331.1761474609375
261840,261840_02.jpg,6229.7255859375
261840,261840_03.jpg,30047.396484375
243890,243890_00.jpg,9270.3740234375
243890,243890_01.jpg,198265.15625
243890,243890_02.jpg,12036.1923828125
243890,243890_03.jpg,127095.3828125
847610,847610_00.jpg,7130.091796875
847610,847610_01.jpg,196758.78125
847610,847610_02.jpg,28958.470703125
847610,847610_03.jpg,1092.24560546875
223285,223285_00.jpg,41586.1640625
223285,223285_01.jpg,78134.984375
223285,223285_02.jpg,95306.109375
223285,223285_03.jpg,70637.984375
213773,213773_00.jpg,139859.71875
213773,213773_01.jpg,158241.171875
213773,213773_02.jpg,-2210.544677734375
213773,213773_03.jpg,14300.8857421875
213482,213482_00.jpg,-7.025332927703857
213482,213482_01.jpg,-401.9398498535156
213482,213482_02.jpg,105259.3671875
213482,213482_03.jpg,-3852.245361328125
1291533,1291533_00.jpg,9192.29296875
1291534,1291534_00.jpg,9192.29296875
1291539,1291539_00.jpg,9192.29296875
1291540,1291540_00.jpg,9192.29296875
1291535,1291535_00.jpg,143.8875732421875
1291535,1291535_01.jpg,-9498.9296875
1291535,1291535_02.jpg,28824.841796875
1291535,1291535_03.jpg,-6536.8857421875
1498153,1498153_00.jpg,-2700.12744140625
1498153,1498153_01.jpg,-488.2987060546875
1498153,1498153_02.jpg,147029.0
1498153,1498153_03.jpg,-2700.12744140625
1397236,1397236_00.jpg,613.8865966796875
1397236,1397236_01.jpg,478.2585144042969
1397236,1397236_02.jpg,10217.3037109375
1397236,1397236_03.jpg,182.19215393066406
1397235,1397235_00.jpg,13545.4453125
1397235,1397235_01.jpg,103.36334228515625
1397235,1397235_02.jpg,2056.63916015625
1397235,1397235_03.jpg,7020.37060546875
1397233,1397233_00.jpg,717.570556640625
